Country Name,CO2 emissions (metric tons per capita),Total greenhouse gas emissions (kt of CO2 equivalent),Access to electricity (% of population),Renewable energy consumption (% of total final energy consumption),Terrestrial protected areas (% of total land area),Population growth (annual %),Population (total),Urban population growth (annual %)
Afghanistan,0.31647873497721196,18168.86,82.60891342163086,17.011405995013824,0.103138023195208,3.006609490465427,34295325.14285714,3.900860497092041
Albania,1.8069609053774467,8898.640911402741,100.0,39.66049613683347,17.5607302081438,-0.19217142278326807,2883033.4285714286,1.5893371692131157
Algeria,3.579395199086433,176471.22676979698,99.69301169907703,0.11405808930246733,7.496706685536413,2.01954337994736,39763537.428571425,2.91085785478456
American Samoa,NaN,58.7655192902151,NaN,0.747981932924161,11.9884964871516,-0.0755234442565691,55687.0,-0.1326669366886282
Andorra,5.883855189783283,NaN,100.0,19.598339573039297,24.881816521009267,-1.1988144038890207,78818.42857142857,-1.3060618175863858
Angola,1.2914338376141865,41657.164846029904,38.176705042521164,50.824380831496,6.97095113063056,3.437507979526873,27916980.714285713,4.568332945431162
Antigua and Barbuda,5.75815174204871,552.747914304263,100.0,0.0,18.8231157926992,1.083541366734773,93470.28571428571,0.4559461949359636
Arab World,4.79989730993251,1908696.04241466,88.61210716056206,4.164318993966638,5.650894822017123,2.091887469013173,395828468.28571427,2.6311759121898675
Argentina,4.62974254178214,380295.32036889705,99.82866032918294,10.25476503731742,8.835500943879701,1.0776573075534943,43123907.571428575,1.2151561302787628
Armenia,1.9234129825822401,12319.389609306201,99.9964205423991,9.213416806099403,23.1103352040144,0.368850505250069,2921785.714285714,0.32570837718984585
Aruba,9.973782498194074,NaN,100.0,6.849962915270648,12.78838417335193,0.5221723970601273,104273.85714285714,0.6777544143725913
Australia,16.185834624457534,761686.2738576491,100.0,8.948573168476385,18.503748204771465,1.6027238618047872,23848344.42857143,1.7214720323381172
Austria,7.208564412496937,90460.2102892241,100.0,34.47410074326753,28.41198777040334,0.7549467289545058,8640020.0,1.047572484532023
Azerbaijan,3.8471688717073094,56537.0817767984,100.0,2.449798253501408,10.153417080558134,1.150406802749103,9635883.42857143,1.6844348526015998
The Bahamas,6.522117924071594,4865.20676738915,100.0,1.0819761316337724,34.82243168501767,0.9996564457106538,374417.5714285714,1.0944381778447771
Bahrain,22.595284411649867,32849.105728772796,100.0,0.0,6.647831875100613,2.9329104046186183,1401743.142857143,3.0279448141094356
Bangladesh,0.45900446817013735,183300.562417687,70.644835840861,37.4386781021536,4.607308541311173,1.1118755654733343,156220914.0,3.3933487043644988
Barbados,4.91519036233482,1540.61570884268,100.0,3.3688823524688924,1.2967387956682266,0.1832800213552364,285259.28571428574,-0.068161504158223
Belarus,6.706200515362691,109647.238750262,100.0,6.915913199314987,9.40566223507846,0.018407068557230656,9482829.0,0.6514979560992762
Belgium,8.526860579702733,133373.684007061,100.0,8.54094980418229,23.265561956437335,0.4882784505791148,11268320.0,0.5325159109368114
Belize,1.4321020840175533,1569.8585030673999,94.47393239339192,35.92578831985875,37.6795770447918,2.120139601152592,360750.5714285714,2.275882813747443
Benin,0.5858336561386347,33533.096733366096,39.10585085550945,51.81440536204198,29.3722474699802,2.7697985491159582,10589849.857142856,3.934417098924734
Bermuda,7.7489974805181925,632.876992070822,100.0,2.1043892684157677,3.226612682304966,-0.13066680829419144,64653.42857142857,-0.13248602275776392
Bhutan,1.2845742272811467,3296.96372502552,93.92991689046225,87.25257723076564,48.00856736346086,1.2064979536715386,727917.7142857143,3.193392265186612
Bolivia,1.8372613438542,621726.72675282,90.84243533333334,17.7286586786827,30.866994330195734,1.5119659898431372,10867729.714285715,2.04677715679682
Bosnia and Herzegovina,6.249097370281994,27108.400203022797,100.0,29.313021460428146,1.4136677138088398,-1.380523102646735,3445823.5714285714,-0.6618559635430273
Botswana,2.6591922971013435,82110.2767551773,57.53144454956055,29.1619307262772,29.142158280939537,1.5991947921973073,2132945.0,2.7960255321691787
Brazil,2.492296890916297,2989417.95671697,99.69263233333334,42.9252264385715,29.259778449181137,0.8395025039822109,204432132.14285713,1.162947594126683
